,age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
1572,29,fit,strictly anything,socially,never,graduated from college/university,white,68.0,-1,entertainment / media,2012-06-29-10-23,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,other but not too serious about it,m,scorpio and it&rsquo;s fun to think about,when drinking,"english (fluently), english (poorly)",single
1586,40,a little extra,mostly anything,rarely,never,graduated from two-year college,white,70.0,-1,other,2012-06-30-01-22,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,judaism but not too serious about it,m,aries and it&rsquo;s fun to think about,no,english,single
1610,62,athletic,mostly other,not at all,never,graduated from ph.d program,white,72.0,-1,computer / hardware / software,2012-06-28-11-51,"pleasant hill, california",has kids,straight,likes dogs and has cats,other and laughing about it,m,pisces but it doesn&rsquo;t matter,no,english,single
1616,25,thin,mostly anything,desperately,sometimes,graduated from space camp,"white, other",72.0,-1,rather not say,2012-06-28-21-03,"san francisco, california",doesn&rsquo;t have kids,gay,likes cats,atheism and laughing about it,f,scorpio,trying to quit,"english (fluently), lisp (fluently)",single
1636,25,a little extra,mostly vegetarian,not at all,never,graduated from college/university,asian,70.0,-1,computer / hardware / software,2012-06-05-22-19,"south san francisco, california",doesn&rsquo;t want kids,straight,has dogs and likes cats,agnosticism but not too serious about it,m,cancer but it doesn&rsquo;t matter,no,english (fluently),single
1639,35,average,mostly anything,socially,never,graduated from college/university,white,72.0,150000,computer / hardware / software,2012-06-25-20-09,"san rafael, california",might want kids,straight,has dogs,agnosticism and laughing about it,m,capricorn but it doesn&rsquo;t matter,no,english,single
1642,43,athletic,mostly vegetarian,rarely,never,working on two-year college,black,71.0,40000,medicine / health,2012-04-16-05-23,"oakland, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,dislikes dogs and likes cats,other and very serious about it,m,taurus but it doesn&rsquo;t matter,yes,english,single
1643,27,full figured,strictly anything,socially,never,dropped out of college/university,white,75.0,80000,computer / hardware / software,2012-03-07-00-09,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs,atheism but not too serious about it,m,gemini but it doesn&rsquo;t matter,when drinking,english (poorly),single
1655,37,overweight,mostly anything,socially,never,graduated from college/university,white,67.0,60000,executive / management,2012-06-29-23-43,"alameda, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism and laughing about it,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay), italian (poorly), german (poorly)",single
1675,22,average,anything,socially,never,graduated from college/university,indian,69.0,80000,computer / hardware / software,2012-06-06-08-00,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,agnosticism,m,leo but it doesn&rsquo;t matter,no,"english (fluently), hindi (okay), tamil (okay)",single
1677,28,fit,mostly anything,socially,never,working on med school,white,72.0,50000,political / government,2012-06-27-13-41,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other but not too serious about it,m,leo and it&rsquo;s fun to think about,no,"english (fluently), other (fluently)",single
1679,36,athletic,strictly anything,socially,never,graduated from masters program,white,75.0,150000,executive / management,2012-02-10-19-44,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,christianity but not too serious about it,m,aries and it&rsquo;s fun to think about,no,"english (fluently), greek (okay)",single
1680,26,athletic,mostly other,socially,sometimes,working on college/university,white,71.0,-1,other,2011-06-30-04-52,"hayward, california",doesn&rsquo;t want kids,straight,dislikes cats,other,m,aries,when drinking,english (fluently),single
1681,28,average,strictly vegan,rarely,never,graduated from college/university,white,63.0,-1,science / tech / engineering,2012-06-26-10-13,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,atheism and somewhat serious about it,f,virgo and it&rsquo;s fun to think about,no,"english (fluently), romanian (okay), french (okay), german (poorly)",seeing someone
1686,53,fit,strictly anything,socially,never,graduated from college/university,white,62.0,-1,sales / marketing / biz dev,2012-06-29-09-28,"menlo park, california","has kids, but doesn&rsquo;t want more",straight,likes dogs,judaism and laughing about it,f,libra but it doesn&rsquo;t matter,no,"english (fluently), sign language (poorly)",single
1694,24,athletic,mostly anything,socially,never,working on college/university,asian,66.0,-1,other,2012-06-24-01-34,"oakland, california",doesn&rsquo;t have kids,straight,has dogs,catholicism and somewhat serious about it,m,sagittarius and it&rsquo;s fun to think about,no,english,single
1696,22,athletic,mostly anything,socially,sometimes,working on college/university,white,70.0,-1,entertainment / media,2012-06-29-18-26,"san francisco, california",doesn&rsquo;t have kids,straight,has dogs and has cats,buddhism and laughing about it,m,taurus,when drinking,english (fluently),single
1697,32,athletic,mostly anything,socially,never,graduated from college/university,hispanic / latin,74.0,70000,executive / management,2011-12-11-19-07,"san carlos, california",has kids,straight,has dogs,catholicism,m,aquarius,no,"english (fluently), spanish (fluently)",single
1701,22,athletic,strictly anything,often,never,working on college/university,black,68.0,-1,artistic / musical / writer,2012-06-28-06-18,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity,f,libra and it&rsquo;s fun to think about,no,"english (fluently), french (okay)",single
1708,19,average,mostly anything,socially,never,working on two-year college,"black, hispanic / latin",64.0,20000,sales / marketing / biz dev,2012-05-08-07-41,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,has dogs,buddhism,f,sagittarius and it&rsquo;s fun to think about,when drinking,english,single
1715,36,average,mostly anything,often,never,graduated from masters program,white,62.0,-1,medicine / health,2012-06-29-22-38,"san francisco, california",doesn&rsquo;t want kids,straight,has dogs and dislikes cats,atheism and somewhat serious about it,f,leo and it&rsquo;s fun to think about,when drinking,"english (fluently), finnish (poorly), french (poorly)",single
1723,32,fit,mostly anything,socially,never,graduated from masters program,white,68.0,-1,medicine / health,2012-06-29-16-53,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,other,f,leo but it doesn&rsquo;t matter,no,"english, french (okay), spanish (okay)",single
1735,31,fit,mostly anything,socially,never,graduated from college/university,white,73.0,-1,executive / management,2012-06-26-09-12,"half moon bay, california",doesn&rsquo;t have kids,straight,likes dogs,atheism and laughing about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), french (poorly)",seeing someone
1741,58,athletic,mostly anything,socially,never,graduated from college/university,white,67.0,-1,computer / hardware / software,2012-06-29-23-46,"san leandro, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,judaism but not too serious about it,m,cancer and it&rsquo;s fun to think about,no,english (fluently),single
1746,31,athletic,mostly anything,socially,never,graduated from college/university,white,70.0,-1,computer / hardware / software,2012-06-29-21-47,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,agnosticism but not too serious about it,m,virgo but it doesn&rsquo;t matter,when drinking,english (fluently),single
1750,27,athletic,mostly anything,socially,never,graduated from college/university,white,66.0,-1,medicine / health,2012-06-29-23-15,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity but not too serious about it,f,pisces and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), latin (poorly)",single
1752,45,athletic,mostly anything,socially,never,graduated from college/university,white,66.0,100000,medicine / health,2012-06-26-22-05,"stanford, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,catholicism but not too serious about it,f,aries but it doesn&rsquo;t matter,no,"english (fluently), german (okay), spanish (poorly)",single
1766,58,fit,mostly anything,socially,never,graduated from college/university,white,68.0,-1,executive / management,2012-06-29-10-07,"half moon bay, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,christianity but not too serious about it,m,capricorn but it doesn&rsquo;t matter,no,"english, bulgarian, german, greek",single
1773,38,athletic,mostly anything,socially,never,graduated from college/university,white,70.0,-1,sales / marketing / biz dev,2012-06-28-15-52,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,has dogs and dislikes cats,catholicism but not too serious about it,f,aries but it doesn&rsquo;t matter,no,english (fluently),single
1784,42,average,mostly anything,socially,never,graduated from two-year college,asian,64.0,-1,medicine / health,2012-06-24-11-56,"san francisco, california",has a kid,straight,has dogs,catholicism,f,leo,no,"english, english (okay)",single
1787,20,thin,mostly anything,socially,never,working on college/university,asian,59.0,-1,computer / hardware / software,2012-06-26-22-38,"berkeley, california","doesn&rsquo;t have kids, but might want them",gay,likes dogs and likes cats,catholicism and laughing about it,f,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), japanese (poorly)",single
1793,56,athletic,mostly anything,socially,never,graduated from two-year college,hispanic / latin,67.0,-1,construction / craftsmanship,2012-06-19-20-26,"south san francisco, california",has kids,straight,has dogs,christianity,m,aquarius,no,english,single
1797,26,skinny,strictly anything,not at all,never,graduated from college/university,asian,70.0,20000,other,2012-06-23-18-06,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and has cats,atheism but not too serious about it,m,virgo but it doesn&rsquo;t matter,no,"english (fluently), chinese (fluently), japanese (poorly), c++ (poorly)",single
1814,38,athletic,anything,socially,sometimes,dropped out of college/university,white,69.0,150000,executive / management,2012-06-29-00-26,"san carlos, california","has kids, but doesn&rsquo;t want more",straight,has dogs,atheism but not too serious about it,m,virgo but it doesn&rsquo;t matter,no,english (fluently),available
1824,30,thin,strictly anything,rarely,never,graduated from college/university,white,69.0,-1,political / government,2012-06-29-23-24,"san francisco, california",doesn&rsquo;t have kids,straight,has cats,agnosticism,f,aquarius,no,"english, french",single
1825,39,athletic,mostly anything,socially,never,graduated from masters program,black,69.0,-1,computer / hardware / software,2012-06-29-20-26,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity but not too serious about it,m,leo and it&rsquo;s fun to think about,no,"english (fluently), french (okay)",single
1841,34,fit,mostly anything,socially,never,graduated from law school,white,67.0,-1,law / legal services,2012-06-29-13-28,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,has dogs,judaism and laughing about it,m,gemini but it doesn&rsquo;t matter,no,"english, italian (poorly), spanish (poorly)",single
1848,26,fit,anything,socially,never,graduated from masters program,white,68.0,-1,banking / financial / real estate,2012-06-25-17-47,"san rafael, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other but not too serious about it,m,leo but it doesn&rsquo;t matter,no,"english, french (fluently)",single
1855,59,curvy,mostly other,socially,never,graduated from masters program,other,65.0,-1,medicine / health,2012-06-27-21-15,"san francisco, california",doesn&rsquo;t want kids,straight,likes dogs and likes cats,other and very serious about it,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently)",single
1860,23,athletic,anything,socially,sometimes,graduated from college/university,asian,69.0,-1,banking / financial / real estate,2012-06-29-21-44,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and dislikes cats,agnosticism but not too serious about it,m,capricorn and it&rsquo;s fun to think about,no,"english (fluently), vietnamese (fluently)",single
1861,27,average,mostly anything,often,sometimes,working on college/university,white,66.0,40000,entertainment / media,2012-03-13-18-16,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and has cats,other,f,capricorn and it&rsquo;s fun to think about,no,english (fluently),single
1884,20,average,mostly anything,socially,never,working on college/university,white,66.0,-1,student,2012-04-15-19-51,"oakland, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,agnosticism,f,gemini and it&rsquo;s fun to think about,no,english,single
1891,32,average,mostly anything,socially,never,graduated from college/university,white,74.0,-1,executive / management,2012-06-29-18-53,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism and laughing about it,m,taurus but it doesn&rsquo;t matter,no,english,single
1893,22,skinny,mostly vegetarian,socially,never,graduated from college/university,white,74.0,-1,hospitality / travel,2012-06-29-09-53,"san francisco, california","doesn&rsquo;t have kids, but might want them",gay,likes dogs and likes cats,christianity but not too serious about it,m,libra and it&rsquo;s fun to think about,no,"english (fluently), french (poorly)",single
1926,50,athletic,mostly vegetarian,not at all,never,graduated from college/university,white,73.0,150000,science / tech / engineering,2012-06-29-22-31,"palo alto, california",has a kid,straight,likes cats,agnosticism but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), french (poorly)",single
1934,25,fit,mostly anything,socially,never,working on law school,white,65.0,-1,student,2012-06-29-22-56,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs,atheism,f,leo but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
1936,22,average,anything,rarely,never,working on college/university,asian,64.0,20000,student,2012-06-28-18-17,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and dislikes cats,buddhism and laughing about it,f,leo and it&rsquo;s fun to think about,no,"english (okay), chinese (fluently)",single
1938,27,athletic,strictly anything,socially,never,graduated from college/university,asian,69.0,50000,military,2012-06-15-15-33,"san mateo, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,christianity but not too serious about it,m,cancer and it&rsquo;s fun to think about,trying to quit,"english (fluently), chinese (okay)",single
1943,39,used up,mostly anything,not at all,never,working on college/university,white,62.0,-1,clerical / administrative,2012-06-29-18-06,"san francisco, california","has kids, but doesn&rsquo;t want more",gay,likes dogs and has cats,other and very serious about it,f,virgo but it doesn&rsquo;t matter,no,english (fluently),single
1946,23,fit,strictly anything,socially,never,working on college/university,white,65.0,-1,student,2012-06-29-11-44,"berkeley, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,catholicism but not too serious about it,f,libra but it doesn&rsquo;t matter,no,"english (fluently), german (poorly), italian (okay), spanish (okay)",single
1950,61,average,mostly anything,not at all,never,working on two-year college,white,66.0,50000,political / government,2012-05-29-23-59,"oakland, california","doesn&rsquo;t have kids, but might want them",gay,likes dogs and likes cats,catholicism but not too serious about it,m,aquarius and it&rsquo;s fun to think about,no,english (okay),single
1956,24,curvy,mostly anything,socially,sometimes,working on college/university,white,70.0,20000,artistic / musical / writer,2012-06-28-19-08,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and has cats,other and very serious about it,f,cancer,trying to quit,"english (poorly), spanish (poorly)",single
1957,20,skinny,mostly anything,not at all,never,working on college/university,asian,64.0,-1,student,2012-06-29-18-05,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,christianity,f,gemini,no,"english (fluently), german (okay), khmer (poorly), korean (okay)",single
1961,48,average,strictly anything,socially,never,graduated from two-year college,white,77.0,60000,transportation,2012-01-06-18-12,"san francisco, california",has kids,straight,likes dogs and likes cats,other but not too serious about it,m,taurus but it doesn&rsquo;t matter,yes,english,single
1964,23,thin,strictly anything,socially,never,graduated from masters program,white,62.0,-1,law / legal services,2012-06-26-14-48,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,agnosticism,f,scorpio and it&rsquo;s fun to think about,no,"english (fluently), french (fluently), spanish (okay)",single
1974,37,athletic,mostly anything,rarely,never,graduated from med school,other,62.0,-1,medicine / health,2012-05-31-21-47,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,other but not too serious about it,f,virgo and it&rsquo;s fun to think about,no,"english, french (poorly), spanish (poorly), german (poorly), swedish (poorly)",single
1976,25,used up,strictly anything,socially,never,graduated from college/university,asian,67.0,-1,sales / marketing / biz dev,2012-06-29-21-00,"san mateo, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,agnosticism,m,aries,no,"english, chinese",single
1980,32,average,anything,rarely,never,graduated from college/university,asian,61.0,80000,science / tech / engineering,2012-04-03-16-34,"san francisco, california",doesn&rsquo;t have kids,straight,likes cats,agnosticism and laughing about it,f,leo,no,english,single
1990,19,fit,mostly anything,socially,never,working on college/university,white,71.0,-1,student,2012-04-24-07-05,"berkeley, california",doesn&rsquo;t have kids,straight,likes dogs,christianity but not too serious about it,m,capricorn and it&rsquo;s fun to think about,no,"english (fluently), romanian (fluently), spanish (okay)",single
2014,28,thin,anything,socially,never,graduated from college/university,white,73.0,-1,artistic / musical / writer,2012-06-29-18-15,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,atheism,m,cancer,no,english,single
2016,24,athletic,strictly vegetarian,not at all,never,graduated from college/university,white,68.0,-1,student,2012-06-29-23-30,"berkeley, california","doesn&rsquo;t have kids, but wants them",gay,likes dogs and likes cats,other,m,pisces and it&rsquo;s fun to think about,no,"english (fluently), chinese (okay)",single
2038,45,athletic,mostly vegetarian,socially,never,graduated from college/university,white,69.0,-1,artistic / musical / writer,2012-06-30-00-06,"oakland, california","has kids, and might want more",straight,likes cats,other but not too serious about it,f,leo but it doesn&rsquo;t matter,no,english,single
2042,31,thin,mostly anything,socially,never,working on ph.d program,other,64.0,-1,student,2012-06-28-21-19,"berkeley, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,atheism,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), turkish (fluently), german (fluently), spanish (poorly), hindi (poorly)",single
2044,30,athletic,vegetarian,socially,never,working on med school,white,63.0,-1,student,2012-06-29-17-52,"san mateo, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism but not too serious about it,f,cancer and it&rsquo;s fun to think about,no,"english (fluently), french (okay), other (okay), spanish (okay)",single
2045,39,a little extra,mostly halal,not at all,never,graduated from ph.d program,other,66.0,-1,other,2012-06-28-22-36,"berkeley, california","has kids, and might want more",straight,likes dogs and has cats,islam,f,aries but it doesn&rsquo;t matter,trying to quit,"english (fluently), arabic (poorly), spanish (poorly)",single
2050,18,thin,strictly vegetarian,socially,sometimes,working on college/university,"hispanic / latin, white",61.0,20000,student,2012-06-30-01-46,"san francisco, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,has dogs and likes cats,atheism,f,cancer but it doesn&rsquo;t matter,sometimes,english,single
2065,24,a little extra,strictly anything,socially,sometimes,working on college/university,white,70.0,-1,student,2012-06-30-00-08,"san leandro, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and has cats,christianity but not too serious about it,m,sagittarius and it&rsquo;s fun to think about,trying to quit,english (fluently),single
2070,42,a little extra,strictly anything,not at all,never,graduated from two-year college,white,68.0,-1,hospitality / travel,2012-06-14-11-14,"san francisco, california","doesn&rsquo;t have kids, but might want them",gay,likes dogs and likes cats,christianity but not too serious about it,m,virgo but it doesn&rsquo;t matter,no,english (fluently),single
2077,40,fit,mostly anything,socially,never,dropped out of space camp,white,69.0,-1,other,2012-06-29-07-22,"palo alto, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,christianity,m,virgo,no,english,single
2079,51,fit,mostly anything,not at all,never,dropped out of college/university,white,70.0,100000,construction / craftsmanship,2011-09-18-20-33,"redwood city, california",has a kid,straight,has dogs,other and laughing about it,m,capricorn and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
2084,27,average,mostly anything,socially,never,graduated from college/university,hispanic / latin,68.0,-1,science / tech / engineering,2012-06-29-23-00,"san leandro, california",doesn&rsquo;t have kids,straight,likes dogs,catholicism but not too serious about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
2086,30,thin,anything,socially,never,graduated from med school,middle eastern,63.0,-1,medicine / health,2012-05-21-20-16,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and dislikes cats,other,f,virgo but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), farsi (okay)",single
2087,26,a little extra,anything,socially,sometimes,working on college/university,white,70.0,-1,artistic / musical / writer,2012-06-29-11-50,"emeryville, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and has cats,agnosticism and laughing about it,m,cancer but it doesn&rsquo;t matter,when drinking,english,single
2091,24,athletic,mostly anything,socially,never,working on med school,white,70.0,-1,student,2012-06-29-09-04,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and dislikes cats,agnosticism but not too serious about it,m,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), italian (poorly)",single
2092,29,curvy,mostly anything,socially,sometimes,graduated from college/university,"hispanic / latin, white",61.0,-1,other,2012-06-08-20-53,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,other,f,cancer and it&rsquo;s fun to think about,when drinking,english,single
2096,42,overweight,mostly anything,socially,never,graduated from college/university,"white, other",68.0,40000,science / tech / engineering,2012-06-29-19-16,"lafayette, california",has a kid,straight,likes dogs and likes cats,other,m,aquarius but it doesn&rsquo;t matter,no,"english (fluently), german (poorly), italian (poorly)",single
2098,35,a little extra,strictly anything,often,never,graduated from masters program,white,72.0,-1,science / tech / engineering,2012-06-26-10-22,"oakland, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and has cats,atheism but not too serious about it,m,capricorn but it doesn&rsquo;t matter,no,"english (fluently), chinese (poorly)",single
2107,26,average,mostly anything,socially,never,working on masters program,white,62.0,-1,student,2012-06-29-18-10,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs,agnosticism and laughing about it,f,cancer but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
2113,32,fit,mostly anything,socially,never,graduated from college/university,white,64.0,-1,other,2012-06-29-23-21,"berkeley, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and dislikes cats,atheism,f,scorpio and it&rsquo;s fun to think about,no,english,single
2130,37,average,mostly anything,rarely,never,graduated from high school,asian,71.0,-1,medicine / health,2012-06-29-23-54,"oakland, california",doesn&rsquo;t want kids,straight,likes dogs and dislikes cats,buddhism but not too serious about it,m,taurus and it&rsquo;s fun to think about,no,english (fluently),single
2131,57,average,strictly vegetarian,rarely,never,graduated from high school,white,73.0,-1,other,2012-06-29-23-19,"fairfax, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes cats,other and laughing about it,m,aries and it&rsquo;s fun to think about,no,english (fluently),single
2139,26,average,mostly anything,often,sometimes,graduated from college/university,white,67.0,-1,entertainment / media,2012-06-27-23-38,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs and likes cats,other but not too serious about it,m,pisces and it&rsquo;s fun to think about,sometimes,english (fluently),single
2140,30,thin,strictly vegan,not at all,never,graduated from college/university,white,63.0,-1,education / academia,2012-06-28-23-47,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,f,virgo and it&rsquo;s fun to think about,no,"english, spanish (poorly)",single
2145,42,average,strictly vegetarian,socially,never,graduated from two-year college,asian,70.0,60000,sales / marketing / biz dev,2012-06-22-20-09,"el sobrante, california","doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,hinduism and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,yes,"english (fluently), hindi (fluently)",single
2149,40,curvy,mostly anything,socially,never,graduated from college/university,white,66.0,-1,computer / hardware / software,2012-06-24-23-14,"san carlos, california",has kids,straight,has dogs and likes cats,christianity,f,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",seeing someone
2171,51,curvy,other,not at all,never,graduated from masters program,white,62.0,-1,education / academia,2012-06-28-11-48,"montara, california",doesn&rsquo;t have kids,straight,has dogs,other,f,leo but it doesn&rsquo;t matter,no,"english (fluently), greek (okay)",single
2196,28,average,strictly anything,socially,sometimes,graduated from college/university,asian,69.0,-1,hospitality / travel,2012-05-28-23-35,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs and likes cats,atheism,m,gemini and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (okay)",available
2203,38,a little extra,strictly anything,socially,never,dropped out of space camp,white,73.0,-1,construction / craftsmanship,2012-06-28-15-25,"oakland, california","has kids, but doesn&rsquo;t want more",straight,likes dogs and likes cats,atheism but not too serious about it,m,cancer but it doesn&rsquo;t matter,no,english (fluently),single
2218,34,a little extra,mostly anything,socially,never,graduated from high school,"asian, black, white",68.0,-1,medicine / health,2012-06-27-20-49,"san francisco, california","doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,atheism and somewhat serious about it,f,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
2232,55,fit,mostly anything,socially,never,graduated from masters program,white,61.0,-1,other,2012-06-29-19-33,"albany, california","has a kid, but doesn&rsquo;t want more",straight,likes dogs and has cats,other but not too serious about it,f,libra and it&rsquo;s fun to think about,no,"english (fluently), dutch (poorly), spanish (poorly)",single
2233,41,athletic,mostly anything,socially,never,graduated from masters program,"asian, pacific islander",72.0,-1,executive / management,2012-06-29-22-05,"albany, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,buddhism and laughing about it,m,gemini but it doesn&rsquo;t matter,no,"english (fluently), chinese (poorly)",single
2234,22,thin,mostly anything,socially,sometimes,working on college/university,"asian, pacific islander, white",64.0,20000,entertainment / media,2012-06-10-13-32,"oakland, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",bisexual,likes dogs and dislikes cats,agnosticism and laughing about it,f,pisces and it matters a lot,trying to quit,"english (fluently), spanish (okay)",single
2239,32,fit,anything,rarely,never,graduated from ph.d program,white,72.0,-1,education / academia,2012-06-29-15-06,"berkeley, california",doesn&rsquo;t have kids,straight,likes cats,agnosticism but not too serious about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), indonesian (fluently), french (okay)",single
2247,29,fit,anything,socially,never,working on ph.d program,asian,72.0,-1,student,2012-06-30-01-56,"oakland, california",doesn&rsquo;t have kids,straight,likes cats,agnosticism,m,capricorn but it doesn&rsquo;t matter,no,"english (fluently), chinese (okay)",single
2253,20,thin,anything,socially,sometimes,graduated from college/university,white,70.0,20000,construction / craftsmanship,2012-06-29-19-42,"berkeley, california","doesn&rsquo;t have kids, and doesn&rsquo;t want any",straight,likes dogs and likes cats,other and laughing about it,m,libra and it&rsquo;s fun to think about,no,english (fluently),single
2256,36,full figured,mostly kosher,rarely,never,working on ph.d program,middle eastern,63.0,-1,education / academia,2012-06-05-08-10,"alameda, california",has kids,gay,has cats,judaism and laughing about it,f,gemini and it&rsquo;s fun to think about,no,"english, arabic, hebrew",single
2261,53,fit,mostly anything,socially,sometimes,dropped out of masters program,white,72.0,150000,sales / marketing / biz dev,2012-05-03-08-32,"lafayette, california",doesn&rsquo;t want kids,straight,likes dogs and has cats,other and laughing about it,m,virgo and it&rsquo;s fun to think about,no,"english (fluently), japanese (okay), french (poorly)",seeing someone
2271,25,curvy,mostly anything,socially,never,graduated from masters program,white,68.0,-1,computer / hardware / software,2012-06-15-19-26,"oakland, california","doesn&rsquo;t have kids, but might want them",bisexual,dislikes dogs and likes cats,agnosticism and laughing about it,f,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), french (okay), danish (poorly)",available
2289,18,average,mostly anything,rarely,never,working on college/university,white,64.0,-1,student,2012-06-28-20-09,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,agnosticism and laughing about it,f,virgo but it doesn&rsquo;t matter,no,english (fluently),single
